iter	Logloss
0	0.6705968633
1	0.6483428777
2	0.6309204859
3	0.6126012673
4	0.5962991783
5	0.5844902548
6	0.5724991263
7	0.5612836914
8	0.5520317142
9	0.5450803445
10	0.5373319255
11	0.5304761011
12	0.5241516939
13	0.5178356537
14	0.5128001961
15	0.5087926023
16	0.5048169268
17	0.5008019526
18	0.497862477
19	0.4948688962
20	0.4919878669
21	0.4894753399
22	0.486946333
23	0.484978663
24	0.4832523074
25	0.4813932369
26	0.4796494838
27	0.4778863335
28	0.4765811047
29	0.4752670319
30	0.4741767947
31	0.4729745705
32	0.4719712819
33	0.4708668199
34	0.4701729974
35	0.4694153303
36	0.4686915076
37	0.468085244
38	0.4674993003
39	0.4669395261
40	0.4664463492
41	0.4659743508
42	0.4654836348
43	0.4651825201
44	0.4647749185
45	0.4643808341
46	0.464064446
47	0.4636842881
48	0.4634769961
49	0.4631279379
50	0.4628211948
51	0.4625060104
52	0.4622649531
53	0.4619489875
54	0.4617425949
55	0.4615038279
56	0.4613232914
57	0.4611575174
58	0.4609848389
59	0.4608786926
60	0.4607168123
61	0.4605691402
62	0.4604220895
63	0.4602859584
64	0.460185311
65	0.4600820938
66	0.4598935747
67	0.459788755
68	0.4596803501
69	0.4595386947
70	0.4594292812
71	0.4593248021
72	0.4592249063
73	0.4591373736
74	0.4590913195
75	0.4590169713
76	0.4589456348
77	0.4588799947
78	0.4588123278
79	0.4587332114
80	0.4586723391
81	0.4585983915
82	0.4585384395
83	0.4584594931
84	0.4584254135
85	0.4583615859
86	0.4582936196
87	0.4582307067
88	0.4581763383
89	0.4581515297
90	0.4581165022
91	0.4580889155
92	0.4580404306
93	0.4579979149
94	0.4579292229
95	0.4578853883
96	0.4578855342
97	0.4578406899
98	0.4578066169
99	0.4577672767
100	0.457724247
101	0.4576841583
102	0.4576594035
103	0.45760552
104	0.4575911607
105	0.4575673971
106	0.457539488
107	0.4575000862
108	0.4574709211
109	0.4574453249
110	0.4573942382
111	0.4573531552
112	0.4573379649
113	0.4573119631
114	0.4572733605
115	0.4572267522
116	0.4571863575
117	0.4571435295
118	0.4571252147
119	0.4570927037
120	0.4570602788
121	0.4570357629
122	0.457020017
123	0.4569708437
124	0.4569523564
125	0.4569326532
126	0.4569149388
127	0.4569027777
128	0.4568779491
129	0.4568603151
130	0.4568394969
131	0.4568137134
132	0.4568137387
133	0.4568022933
134	0.4567889997
135	0.45676467
136	0.4567366662
137	0.4567074256
138	0.4566916138
139	0.4566562769
140	0.4566282597
141	0.4565990618
142	0.456573163
143	0.4565499337
144	0.456534703
145	0.4565243856
146	0.4565033663
147	0.4564871491
148	0.4564737682
149	0.4564548405
150	0.4564441041
151	0.4564136624
152	0.4563980689
153	0.4563666016
154	0.4563666269
155	0.4563538178
156	0.4563423419
157	0.4563244064
158	0.4563044971
159	0.4562825056
160	0.4562633475
161	0.456248466
162	0.4562327951
163	0.4562127074
164	0.4561897516
165	0.4561648313
166	0.4561442033
167	0.4561128142
168	0.4560893918
169	0.456076297
170	0.4560608256
171	0.4560180899
172	0.4560065664
173	0.4559730453
174	0.4559482319
175	0.4559196781
176	0.4558903303
177	0.4558659565
178	0.4558554993
179	0.4558373369
180	0.4558082582
181	0.4557751674
182	0.455749997
183	0.4557151537
184	0.4556824667
185	0.455665987
186	0.4556585926
187	0.4556320844
188	0.4556042132
189	0.4555861816
190	0.4555607016
191	0.455525959
192	0.4555046309
193	0.4554932738
194	0.4554632173
195	0.4554221762
196	0.4554010567
197	0.455401072
198	0.4553584497
199	0.4553304876
200	0.4553015258
201	0.4552741179
202	0.4552343758
203	0.4552123133
204	0.4551683972
205	0.455093709
206	0.4550713942
207	0.4550315294
208	0.4550020997
209	0.454943222
210	0.454898434
211	0.4548581438
212	0.4548264725
213	0.4547821188
214	0.4547317033
215	0.4546873156
216	0.4546376262
217	0.4546028281
218	0.4545606983
219	0.454532995
220	0.4544785482
221	0.4544264854
222	0.4543923411
223	0.454357102
224	0.4543122145
225	0.4542615346
226	0.4542225564
227	0.4541548534
228	0.4541181046
229	0.4540646673
230	0.4540290162
231	0.4539729221
232	0.4539146526
233	0.4538590091
234	0.4538108991
235	0.4537645937
236	0.4537309354
237	0.4536622896
238	0.4536314073
239	0.4535891189
240	0.453538044
241	0.453489537
242	0.4534526915
243	0.4534210134
244	0.4533778948
245	0.4533239364
246	0.453286479
247	0.4532401066
248	0.4531852998
249	0.4531457243
250	0.4531206864
251	0.4530836387
252	0.4530486659
253	0.4530169217
254	0.4529762349
255	0.4529232086
256	0.4528934103
257	0.4528588795
258	0.4528202139
259	0.4527655478
260	0.4527146114
261	0.4526814997
262	0.4526477681
263	0.4526185707
264	0.4525792973
265	0.4525413599
266	0.4525085429
267	0.4524897284
268	0.4524629013
269	0.4524338257
270	0.4524102349
271	0.4523887753
272	0.4523605603
273	0.4523188346
274	0.4522880321
275	0.4522450483
276	0.4522269856
277	0.4521918589
278	0.4521548269
279	0.4521186308
280	0.45208785
281	0.4520569151
282	0.4520337475
283	0.4520070862
284	0.4519726007
285	0.4519528142
286	0.4519112565
287	0.4518700204
288	0.4518386342
289	0.4517971644
290	0.4517681346
291	0.4517394036
292	0.4517111167
293	0.4516841131
294	0.4516560955
295	0.4516298345
296	0.4516085997
297	0.4515707151
298	0.4515502518
299	0.4515240488
300	0.4514992101
301	0.4514609995
302	0.4514454672
303	0.4514172753
304	0.451385916
305	0.4513563262
306	0.4513318822
307	0.451300426
308	0.4512757402
309	0.45124996
310	0.4512320478
311	0.4512064375
312	0.4511734684
313	0.4511541907
314	0.4511356643
315	0.451117338
316	0.4510928763
317	0.4510722249
318	0.4510414297
319	0.4510283041
320	0.450993876
321	0.4509799357
322	0.4509517945
323	0.4509269956
324	0.450897988
325	0.4508813176
326	0.4508590343
327	0.4508377712
328	0.4508065899
329	0.450790316
330	0.4507679496
331	0.4507329028
332	0.4507058214
333	0.4506940938
334	0.450678219
335	0.4506575773
336	0.4506336138
337	0.4506124719
338	0.4505948253
339	0.4505797788
340	0.4505590952
341	0.4505429924
342	0.4505224376
343	0.4505064639
344	0.4504845434
345	0.4504667857
346	0.450448287
347	0.4504363536
348	0.4504115632
349	0.4503930397
350	0.4503781386
351	0.4503605019
352	0.4503447283
353	0.4503210482
354	0.4503041689
355	0.4502888061
356	0.450263098
357	0.4502453007
358	0.450229952
359	0.450215925
360	0.4501983493
361	0.4501834743
362	0.4501723891
363	0.4501367128
364	0.4501194787
365	0.4501013632
366	0.450084019
367	0.4500675518
368	0.4500538876
369	0.4500401482
370	0.4500242794
371	0.4500095999
372	0.4499951923
373	0.4499844543
374	0.4499688626
375	0.4499537456
376	0.4499351245
377	0.4499196515
378	0.4499064313
379	0.4498875538
380	0.4498731598
381	0.4498596812
382	0.4498400545
383	0.4498240328
384	0.4498067024
385	0.449792593
386	0.4497803758
387	0.449755196
388	0.4497399323
389	0.4497303939
390	0.4497135675
391	0.4497025104
392	0.4496856224
393	0.4496670274
394	0.4496554244
395	0.4496410495
396	0.4496241813
397	0.4496062521
398	0.4495782943
399	0.4495631407
400	0.4495401198
401	0.4495285585
402	0.4495174465
403	0.449500868
404	0.4494874149
405	0.449474192
406	0.4494603322
407	0.4494493199
408	0.4494390981
409	0.4494215423
410	0.4494125847
411	0.449404384
412	0.4493829226
413	0.4493708435
414	0.4493563925
415	0.4493349888
416	0.4493158069
417	0.4493066058
418	0.4492881387
419	0.449271163
420	0.4492509526
421	0.4492399176
422	0.4492303192
423	0.4492185983
424	0.4492077313
425	0.4491962458
426	0.449179618
427	0.4491682251
428	0.4491535482
429	0.4491338169
430	0.4491209708
431	0.4491130579
432	0.4491038562
433	0.4490974285
434	0.4490891862
435	0.4490778483
436	0.4490683181
437	0.4490590743
438	0.449051066
439	0.4490392187
440	0.4490257656
441	0.4490154467
442	0.4490046543
443	0.4489962607
444	0.4489864063
445	0.4489712105
446	0.4489635446
447	0.4489505826
448	0.4489405277
449	0.448927408
450	0.4489148106
451	0.4489063237
452	0.4488910806
453	0.4488814357
454	0.4488725431
455	0.4488634657
456	0.4488509992
457	0.4488390166
458	0.4488290762
459	0.4488209676
460	0.4488113236
461	0.448799951
462	0.4487896417
463	0.4487781938
464	0.4487672413
465	0.4487587287
466	0.4487531975
467	0.4487383701
468	0.4487317299
469	0.448723316
470	0.4487145706
471	0.448705305
472	0.4486914527
473	0.4486798457
474	0.4486664255
475	0.4486542991
476	0.4486474403
477	0.4486269233
478	0.4486192433
479	0.4486086772
480	0.4485975641
481	0.4485844078
482	0.4485754962
483	0.4485673294
484	0.4485561299
485	0.4485485306
486	0.4485373041
487	0.4485260706
488	0.4485196112
489	0.4485078489
490	0.4484975573
491	0.4484756692
492	0.448465273
493	0.4484545068
494	0.4484493703
495	0.4484404218
496	0.4484313632
497	0.4484214058
498	0.44841672
499	0.4484100128
